ID	hps_ck_1	hps_ck_2	hps_ck_3	hps_ck_4	hps_ck_5	hps_ck_6	hps_ck_7	hps_ck_8
Zotu13578								
Zotu1351	3	4	11	7	2	7	5	3
Zotu1893	6	8	6	5	4	8	3	3
Zotu20700								
Zotu9290								
Zotu6421								
Zotu16176								
Zotu13880							1	
Zotu9811			1					1
Zotu18383								
Zotu6796								
Zotu11544								2
Zotu19264								
Zotu15838				2				1
Zotu10993						1		1
Zotu19945								
Zotu13952			1				1	
Zotu10007	1	1			1		1	
Zotu20474	1							
Zotu16519				1				
Zotu5191		5	1		2		3	4
Zotu9928		1						
Zotu1508	7	4	4	6	2	9	5	2
Zotu17362	1						1	
Zotu5795				1			1	
Zotu9014								
Zotu11305			2	1				
Zotu6101	1	1	1	1		1		
Zotu17446		1						1
Zotu8494					2			1
Zotu7076	1		2		1			1
Zotu19108					2			
Zotu7659				2			2	
Zotu11122						1		1
Zotu3998								
Zotu17230								
Zotu6241								1
Zotu564	9	8	14	9	11	11	9	17
Zotu9774								
Zotu5969			1		2			
Zotu10850	1					1		
Zotu13175								1
Zotu629	20	10	16	19	2	1	1	12
Zotu953	15	8	6	11	1	8	8	6
Zotu7595				1				
Zotu3597	2			7		5	6	1
Zotu2520	1		1	28			1	1
Zotu10341								2
Zotu6514								
Zotu8183			1			3	1	1
Zotu20841								
Zotu10985					4	3	2	
Zotu362	15	14	10	22	21	14	36	30
Zotu890	5	2	1	4	1	9	13	9
Zotu548	21	24	23	12	9	25	14	26
Zotu3134	5		1	1	1	3	2	5
Zotu4812			2	1			1	1
Zotu13892			1	1				1
Zotu830	7	5	8	3	3	16	11	7
Zotu274	28	32	18	16	6	32	21	17
Zotu1640	5	9	2	5	5	8	3	2
Zotu4310		2	1	2		2	1	
Zotu2208	4	1				5	1	4
Zotu432	27	32	17	16	32	21	29	22
Zotu2687		1	3	6	4	2	3	7
Zotu823	17	8	6	14	14	9	21	15
Zotu4594	2	1	1	2	3	1	2	1
Zotu20763						1		
Zotu11178						1		
Zotu15780								
Zotu2238	2	3	1	4	1	2	6	2
Zotu8708					2	1	1	2
Zotu8038	3	2	1	4		2		
Zotu11843				2	2			
Zotu2499								1
Zotu14075		1		1	2		1	1
Zotu17787		2		1				
Zotu1052	9	3	1	3	6	4	5	5
Zotu7129		2		1	2	1	1	
Zotu17398			1					1
Zotu137	19	18	17	37	19	13	25	44
Zotu1776					2		6	
Zotu5123			1			2		
Zotu5162						1		
Zotu8550								
Zotu8557								
Zotu1294	3	1	6	8	8	2	11	7
Zotu17852						2		
Zotu6819	1	4	2	1	2		1	3
Zotu7733			1					
Zotu11615				1				
Zotu16870								
Zotu2132	7	3			2	1	1	
Zotu6301			1				2	
Zotu6161		1			4	1		
Zotu12637		1						
Zotu16071								
Zotu16579								
Zotu10184	1	3	4	2	6			
Zotu17269								
Zotu15410								
Zotu20527								
Zotu15902	1		1	1				
Zotu18663	4							
Zotu2424	5		1				6	3
Zotu18676				4				4
Zotu19506						1		
Zotu14448								
Zotu17597								
Zotu12437		1						
Zotu14585						1		
Zotu20266	1			1	1			1
Zotu16711								
Zotu6727								
Zotu18473								
Zotu18256	1							
Zotu18712								
Zotu17656								
Zotu18844								
Zotu20369								
Zotu12074								
Zotu18670	1		1	2				
Zotu20004								
Zotu15082								2
Zotu4048								
Zotu13854								
Zotu13676						6		
Zotu20107								
Zotu10297								
Zotu2697			5			1		
Zotu17928								
Zotu13228								
Zotu13491								
Zotu17802				1				
Zotu6886				2		1	1	
Zotu16005	2					3	1	
Zotu1727								
Zotu10640		2		1		4		
Zotu7229								
Zotu1750			2	3				
Zotu2907				1	2		1	
Zotu3396			2	1				
Zotu18170								
Zotu17920								
Zotu11300						1		
Zotu12400								
Zotu17039								
Zotu20588								
Zotu17170								
Zotu12805								
Zotu12137								
Zotu15343								
Zotu16238								
Zotu17982								
Zotu993	3	1		1	2	1	2	
Zotu9173							1	
Zotu20134								
Zotu16018		1					2	1
Zotu5583	2	3						1
Zotu8841		2			1			
Zotu17732								
Zotu3011	3	3	4	1	2		3	1
Zotu5765	3	2	3	5	2	2		
Zotu6240	1			2	3		2	
Zotu7961		1						1
Zotu11511			1		1	1		
Zotu19491								
Zotu8463	2	2		1			1	
Zotu7658	1				1			
Zotu12921			1	2	2		1	
Zotu13277								1
Zotu14952								
Zotu15982			1					
Zotu9990							2	
Zotu13620	1	1						1
Zotu11813	1			3				
Zotu19700						2		
Zotu7385	2	5	1	1	1		2	
Zotu3085	5	8	3	2		3	4	8
Zotu14032					1	4		
Zotu13198								1
Zotu17583							2	
Zotu13975		1			2			
Zotu12317	1	1					1	
Zotu7882			2					
Zotu3657	1	2		2	6	3	1	3
Zotu9423					1		2	3
Zotu9734	2	3		1		1	2	
Zotu16172				2			2	
Zotu481	50	30	32	34	28	36	23	27
Zotu1375	12	13	7	8	5	12	8	2
Zotu9414				1		1		1
Zotu7416		1						1
Zotu1322	25	22	12	8	5	5	8	4
Zotu1144	15	18	14	9	11	13	9	9
Zotu869	18	20	17	13	8	13	17	16
Zotu5561	1	2		1	1	1		1
Zotu1614	1		4			3	2	1
Zotu11137					1			
Zotu2792	1		3	5	1	1	2	5
Zotu3593	3	4	1	4	5	1	5	5
Zotu6691					1			
Zotu59	162	141	96	127	145	163	105	160
Zotu7465	1	2				1	3	2
Zotu1846	6	7	3	6	5	8	6	6
Zotu1939		1		3				1
Zotu4102	2	2		2	1	2	1	4
Zotu7965	1			1				7
Zotu3417	2	3			3		3	1
Zotu10803							3	
Zotu6000	3	2			2	2	3	2
Zotu7098								
Zotu5193	1							
Zotu1153	18	10	6	16	9	5	13	13
Zotu15740						1		
Zotu14576	1	1						
Zotu10479				1		1		
Zotu19206								1
Zotu2281	1	3	3	4	4	4	2	3
Zotu7239	3			1			1	3
Zotu4263	1	5	2	4		2	2	5
Zotu7235		5			1	1	3	
Zotu15967								
Zotu13217	1						1	
Zotu12741						1		1
