ID	rs_f_1	rs_f_2	rs_f_3	rs_f_4	rs_f_5	rs_f_6	rs_f_7	rs_f_8
Zotu6149		1		1				2
Zotu15438	1							
Zotu17956								
Zotu20790								
Zotu7626	1							
Zotu17845								
Zotu18290								
Zotu9121							1	
Zotu17219								
Zotu17069								1
Zotu7130	2							1
Zotu20833								
Zotu3496						7		
Zotu9385			1					
Zotu19126		2	2		2	1	1	
Zotu6270	5	2	1	2	3	3	2	8
Zotu16680			1					
Zotu4601				7	2	5	1	
Zotu358	20	14	4	6	12	20	8	16
Zotu5864	1			2		2		2
Zotu5771			1		1			1
Zotu11633		3	1	3	1	3		
Zotu105	30	56	42	28	42	115	15	90
Zotu5517					2			
Zotu2710	9	4	4	1	2	5		2
Zotu6738	1			4		2		1
Zotu17274								
Zotu17758					2			
Zotu20596								
Zotu3727	1	2	1	2	1	4	4	1
Zotu13299			1					
Zotu16314								
Zotu19628								
Zotu20365	1			3				
Zotu1371	29	41	43	29	86	71	10	74
Zotu1523	12	12	28	22	16	35	7	50
Zotu835	12	24	25	18	6	21	5	12
Zotu2736	3	1	4		1	4		6
Zotu4165	8	4	3	1	3	4	1	5
Zotu2052	24	17	31	31	21	46	14	27
Zotu15836	8	3	5	4	12	18	4	5
Zotu1073	13	10	10	14	6	9	3	11
Zotu3970	2		1	1				
Zotu4518	1	1		1				
Zotu3039	2	13	13	6	6	2		1
Zotu204	15	20	39	43	25	67	22	114
Zotu328	29	17	31	67	21	92	11	39
Zotu4371								
Zotu6098								
Zotu35	138	154	138	127	256	318	34	313
Zotu337	8	42	13	44	40	4	8	11
Zotu7429								1
Zotu13596	4	2	4		2	2		7
Zotu20441	1		2	1		4		1
Zotu444	24	29	48	20	42	37	15	16
Zotu880	5	4	5	6	10	7	3	10
Zotu315	92	126	30	21	34	64	21	47
Zotu5443	1	10		5		1	1	2
Zotu8703	1		1	3	4		1	1
Zotu20470								
Zotu982	9	4	14	10	17	19	9	16
Zotu1233	6	15	11	5	9	6	6	3
Zotu9405		1						
Zotu425	10	10	14	8	17	8	7	10
Zotu4874		1	1	1				
Zotu15459								
Zotu18548		3						
Zotu10137			1		3			
Zotu11520								
Zotu17326				2				
Zotu5688	4	2	2	2	2	1	2	1
Zotu17127								
Zotu9958								
Zotu18705		1			1		1	
Zotu12818			2					
Zotu4875	1		2	1	1	3	1	2
Zotu11762	2						1	1
Zotu13239						2		
Zotu3508	1		2	1	1	2		
Zotu7316	2	1	1		1		2	1
Zotu13139	2				1	4		2
Zotu2013	8	12	15	7	12	11	5	12
Zotu8412	1		5	2		4	3	1
Zotu13426		2	2			1		
Zotu5118	1	1	1	2	2	2	3	4
Zotu17863								
Zotu9929	1	2	1	1	1	2		
Zotu1484	3	3	10	8	8	5	7	7
Zotu14424	1			3				
Zotu747		1	2	1		7	7	1
Zotu1722	10	3	6	14	7		1	4
